Date,Open,High,Low,Close,Volume,- SPREAD -,
,,,,,,(High-Low),(Open-Close)
28-01-2021,208.25,210.95,205.35,206.5,2560320,5.6,1.75
27-01-2021,207.9,212.6,207,210.7,3210494,5.6,-2.8
25-01-2021,212.45,212.45,206.9,207.9,869425,5.55,4.55
22-01-2021,213.85,215,209.1,210.65,1061063,5.9,3.2
21-01-2021,218.5,219.45,212.3,213.65,1044413,7.15,4.85
20-01-2021,219,219,215.75,217.6,2094596,3.25,1.4
19-01-2021,221,221.6,217.65,218.9,1139773,3.95,2.1
18-01-2021,218.1,221.95,214.6,219.55,4673635,7.35,-1.45
15-01-2021,215,218.55,211.3,217.9,2173381,7.25,-2.9
14-01-2021,212.9,216.4,212,214.1,4509860,4.4,-1.2
13-01-2021,207.85,213,205.25,211.25,2965389,7.75,-3.4
12-01-2021,202.6,206.9,202,206.4,1094684,4.9,-3.8
11-01-2021,203.6,206,201.3,202.45,3080596,4.7,1.15
08-01-2021,204,206,200.3,201.55,1732160,5.7,2.45
07-01-2021,205.8,207.55,202.15,202.75,2855957,5.4,3.05
06-01-2021,211,211.6,204.35,205.45,3587679,7.25,5.55
05-01-2021,212,213.25,210.6,211.5,1395577,2.65,0.5
04-01-2021,213.95,216,212,213.4,2181422,4,0.55
01-01-2021,210,214.2,209.3,213.85,1831530,4.9,-3.85
31-12-2020,211,211.25,208.55,209,620996,2.7,2
30-12-2020,213,213.35,209.6,211.1,1496633,3.75,1.9
29-12-2020,210.8,213.5,209.5,211.55,1930582,4,-0.75
28-12-2020,208.7,210.5,207.85,209.5,1366582,2.65,-0.8
24-12-2020,210,210.65,205.75,208.6,770083,4.9,1.4
23-12-2020,203.7,208,202.1,207.7,825745,5.9,-4
22-12-2020,202.2,206.2,196.9,203.35,4768058,9.3,-1.15
21-12-2020,214.1,214.5,198.55,202.95,5536504,15.95,11.15
18-12-2020,212.9,215.95,209.75,214.5,932353,6.2,-1.6
17-12-2020,214.5,214.75,211.3,213,1683054,3.45,1.5
16-12-2020,213.8,215.65,213.5,214.35,803324,2.15,-0.55
15-12-2020,215.35,216.3,211.55,213.4,2364605,4.75,1.95
14-12-2020,218,218.5,214.95,215.9,1325096,3.55,2.1
11-12-2020,214,217.85,213.35,216.2,3893719,4.5,-2.2
10-12-2020,207,213.55,203.1,212.7,2517250,10.45,-5.7
09-12-2020,204.6,207.7,204.6,205.35,2784923,3.1,-0.75
08-12-2020,204.35,204.75,199.7,202.45,1124395,5.05,1.9
07-12-2020,198.65,203.75,197.65,203.1,1455585,6.1,-4.45
04-12-2020,196.75,199.3,196.45,198.15,2221957,2.85,-1.4
03-12-2020,196.85,197.35,194.6,196.25,1979632,2.75,0.6
02-12-2020,195,198.7,193.6,195.9,2434056,5.1,-0.9
01-12-2020,194.5,196.25,192.4,194.45,1428072,3.85,0.05
27-11-2020,194.9,195.7,193.25,193.7,1692524,2.45,1.2
26-11-2020,195.4,195.9,192.55,194.8,867674,3.35,0.6
25-11-2020,195.5,198,192.55,193.7,1940607,5.45,1.8
24-11-2020,191,196.4,190.9,195.45,1461650,5.5,-4.45
23-11-2020,192,192.5,188.7,190.8,935989,3.8,1.2
20-11-2020,188.15,191.95,186.05,191.6,2183495,5.9,-3.45
19-11-2020,183,191.7,182.8,187.85,4165066,8.9,-4.85
18-11-2020,186.75,188.35,182.8,184.05,991709,5.55,2.7
17-11-2020,188.7,189.35,186.4,187.3,1683426,2.95,1.4
14-11-2020,189.8,190,188,188.65,389585,2,1.15
13-11-2020,187,188.75,185.7,187.05,1831490,3.05,-0.05
12-11-2020,185.2,188.8,183.95,187.9,1960969,4.85,-2.7
11-11-2020,179.6,185.75,178.55,185.25,4977233,7.2,-5.65
10-11-2020,174.95,179.5,171.9,178.35,5194786,7.6,-3.4
09-11-2020,173.95,177.2,171.75,172.8,2749148,5.45,1.15
06-11-2020,176.55,177.2,173.4,173.95,2335628,3.8,2.6
05-11-2020,170.55,175.05,170.2,174.8,941290,4.85,-4.25
04-11-2020,170,171.8,168.1,169.7,1256942,3.7,0.3
03-11-2020,167.6,170.75,167.1,170.1,704326,3.65,-2.5
02-11-2020,165.75,167.05,164.4,166.7,1074879,2.65,-0.95
30-10-2020,164.3,166.75,163.45,165.25,1125563,3.3,-0.95
29-10-2020,164.1,166,163.4,163.85,1205060,2.6,0.25
28-10-2020,168.25,168.25,165.05,165.55,2167706,3.2,2.7
27-10-2020,168.35,169.25,166.8,167.2,1212248,2.45,1.15
26-10-2020,171,171.5,168.3,168.55,478090,3.2,2.45
23-10-2020,168.95,170.95,167.75,170.7,1336565,3.2,-1.75
22-10-2020,167.65,169,166.9,168.55,858531,2.1,-0.9
21-10-2020,168.3,168.8,166.6,167.65,936421,2.2,0.65
20-10-2020,168.7,168.7,166.75,167.5,744293,1.95,1.2
19-10-2020,166.95,168.95,166.2,168.3,1191020,2.75,-1.35
16-10-2020,165.1,166.75,163.8,165.75,1285221,2.95,-0.65
15-10-2020,167.9,168,164.5,165.05,3298083,3.5,2.85
14-10-2020,170.15,170.85,167.1,167.85,1534134,3.75,2.3
13-10-2020,172.85,174.8,169.55,170.2,2055419,5.25,2.65
12-10-2020,169.95,175.2,169.95,172.2,3754774,5.25,-2.25
09-10-2020,167.5,168.95,166.4,167.85,1273927,2.55,-0.35
08-10-2020,170.25,170.4,167,167.2,1270186,3.4,3.05
07-10-2020,170,170.9,169.05,169.5,891106,1.85,0.5
06-10-2020,169.5,171.55,168.2,169.95,1297748,3.35,-0.45
05-10-2020,171.7,172.85,168.8,169.3,1303543,4.05,2.4
01-10-2020,174.1,174.4,170.15,170.85,1418103,4.25,3.25
30-09-2020,170.8,172.05,168.8,171.75,1824111,3.25,-0.95
29-09-2020,174.8,174.8,169,169.35,1265530,5.8,5.45
28-09-2020,171.2,174.8,170.5,173.35,1231828,4.3,-2.15
25-09-2020,169,171.3,167.1,170.8,1798578,4.2,-1.8
24-09-2020,171.6,171.6,166.15,166.6,2658267,5.45,5
23-09-2020,175,177.5,171.75,172.55,1021829,5.75,2.45
22-09-2020,175.7,176.25,173.8,174.15,600712,2.45,1.55
21-09-2020,180.2,180.4,175,175.7,2057685,5.4,4.5
18-09-2020,180.8,180.8,177,179.2,1216036,3.8,1.6
17-09-2020,180.8,181.6,177.85,178.55,1491019,3.75,2.25
16-09-2020,181.95,183.5,180,180.65,998882,3.5,1.3
15-09-2020,184,184,180.85,181.8,773606,3.15,2.2
14-09-2020,185.8,185.85,183,183.35,747342,2.85,2.45
11-09-2020,185,186.45,182.85,183.9,1030815,3.6,1.1
10-09-2020,184.2,185.65,183.25,184.95,1287289,2.4,-0.75
09-09-2020,186,186.25,182.4,183.95,801106,3.85,2.05
08-09-2020,189.7,190.5,184.55,188.15,1399108,5.95,1.55
07-09-2020,187.5,190.35,180.85,189.3,1108079,9.5,-1.8
04-09-2020,189.6,190,185.75,186.65,2826218,4.25,2.95
03-09-2020,192,193.2,189.95,191.65,903276,3.25,0.35
02-09-2020,191.8,192.9,189.8,191.45,1045714,3.1,0.35
01-09-2020,191,192.3,188.4,190.3,1873821,3.9,0.7
31-08-2020,198.5,198.7,190.3,191.25,3823965,8.4,7.25
28-08-2020,194.8,196.25,194.1,195.55,672384,2.15,-0.75
27-08-2020,198,198.95,194,194.2,1116918,4.95,3.8
26-08-2020,196.05,196.4,193.7,194.95,1200270,2.7,1.1
25-08-2020,197,198.25,195.05,195.55,570292,3.2,1.45
24-08-2020,197,198.9,196.4,196.65,854654,2.5,0.35
21-08-2020,198.85,199,196.35,196.9,1259484,2.65,1.95
20-08-2020,197.5,197.5,194.65,195.85,540095,2.85,1.65
19-08-2020,198.75,201.6,198.15,198.45,1008027,3.45,0.3
18-08-2020,198.8,199.55,197.3,198.6,373324,2.25,0.2
17-08-2020,197.5,199.45,196.9,198.65,777984,2.55,-1.15
14-08-2020,201.5,203.25,195.6,196.5,1725643,7.65,5
13-08-2020,204.25,204.25,197.45,201.5,815886,6.8,2.75
12-08-2020,202.8,204.85,200.35,204.15,1475091,4.5,-1.35
11-08-2020,200,207.6,199.95,203.65,4510167,7.65,-3.65
10-08-2020,196.15,199.6,195.75,198.9,1520307,3.85,-2.75
07-08-2020,195.35,197,194.15,196.05,668131,2.85,-0.7
06-08-2020,193.25,195.6,193.25,195.35,550241,2.35,-2.1
05-08-2020,194.8,194.8,191.75,192.75,472124,3.05,2.05
04-08-2020,192.9,195.8,192.65,193.6,1180713,3.15,-0.7
03-08-2020,195,195,191.9,192.7,478607,3.1,2.3
31-07-2020,194,196.95,193.5,194.1,443089,3.45,-0.1
30-07-2020,198.1,198.15,192.5,193.35,775040,5.65,4.75
29-07-2020,193.9,198.1,193.6,196.8,1064291,4.5,-2.9
28-07-2020,196.5,198.6,195.15,195.45,654233,3.45,1.05
27-07-2020,199.7,200.5,195.1,196.25,1890414,5.4,3.45
24-07-2020,200.65,201.65,197.35,199.7,936745,4.3,0.95
23-07-2020,198,201.45,196.75,200.65,2889601,4.7,-2.65
22-07-2020,192.75,197.85,192.6,196.55,1039331,5.25,-3.8
21-07-2020,192.6,194.15,191.55,192.25,1657964,2.6,0.35
20-07-2020,195.95,195.95,192.4,192.75,543194,3.55,3.2
17-07-2020,193.75,195.5,193,194,423650,2.5,-0.25
16-07-2020,199,199,192,193.85,801285,7,5.15
15-07-2020,196.5,199.9,194.5,198.5,2675020,5.4,-2
14-07-2020,198,199.5,192.8,196,630556,6.7,2
13-07-2020,196,198.75,195.35,197.45,712422,3.4,-1.45
10-07-2020,195.7,196.5,194,194.3,516730,2.5,1.4
09-07-2020,196.6,197.75,194.2,195.45,532716,3.55,1.15
08-07-2020,194.8,197.9,194.4,196.25,1917110,3.5,-1.45
07-07-2020,200.3,200.55,194,194.3,1325300,6.55,6
06-07-2020,200.8,201.95,199,199.75,1277507,2.95,1.05
03-07-2020,207.7,208.45,206,207.35,2196807,2.45,0.35
02-07-2020,204.3,206.75,202.65,206,1427773,4.1,-1.7
01-07-2020,195,203.8,194.85,202.7,1762903,8.95,-7.7
30-06-2020,201,201,194,194.6,1763570,7,6.4
29-06-2020,203.1,203.1,196.25,197.2,2641793,6.85,5.9
26-06-2020,205.5,209.25,193.3,195.1,5776272,15.95,10.4
25-06-2020,191.85,203.5,191.85,202.25,2764627,11.65,-10.4
24-06-2020,187.6,194.65,186.2,191.8,3687943,8.45,-4.2
23-06-2020,184.95,187.45,184.8,185.9,1673135,2.65,-0.95
22-06-2020,185.8,187.4,183.2,185.05,1797697,4.2,0.75
19-06-2020,187.35,188,183.65,184.1,1321422,4.35,3.25
18-06-2020,181.55,187.45,180.75,186.65,1673493,6.7,-5.1
17-06-2020,183.1,185.05,180.7,181.3,950373,4.35,1.8
16-06-2020,190.1,191,181.9,184.95,1398189,9.1,5.15
15-06-2020,194.05,194.05,186.4,187.2,778118,7.65,6.85
12-06-2020,189.6,195.25,188.05,194,980250,7.2,-4.4
11-06-2020,200,201.25,193.6,194.6,855456,7.65,5.4
10-06-2020,199.2,203.2,198.35,199.25,1024793,4.85,-0.05
09-06-2020,198.95,206.1,197.7,198.6,1341970,8.4,0.35
08-06-2020,202.4,203.65,197.15,197.75,744734,6.5,4.65
05-06-2020,200.7,202.1,198.75,199.95,605910,3.35,0.75
04-06-2020,197.9,202.6,195,200.1,841987,7.6,-2.2
03-06-2020,200,200.85,195.3,196.85,681985,5.55,3.15
02-06-2020,201.8,201.8,196.75,197.2,973789,5.05,4.6
01-06-2020,200,205.25,199.55,200.6,1177469,5.7,-0.6
29-05-2020,190.8,198,189.3,197.45,1314698,8.7,-6.65
28-05-2020,192.65,193,189.1,190.55,632971,3.9,2.1
27-05-2020,192.15,193.9,186.85,192.15,847999,7.05,0
26-05-2020,190.2,194.95,188,191.5,1667390,6.95,-1.3
22-05-2020,188,191.8,184.75,186.35,1244340,7.05,1.65
21-05-2020,176,190.6,172.7,188.9,1970882,17.9,-12.9
20-05-2020,170.8,176.95,170.8,175.75,1001276,6.15,-4.95
19-05-2020,166,171.55,165.2,170.7,695883,6.35,-4.7
18-05-2020,166.4,167.2,163.15,164.55,742763,4.05,1.85
15-05-2020,162.2,165.45,161.3,164.6,475955,4.15,-2.4
14-05-2020,165.4,168.2,162.05,163.95,1093710,6.15,1.45
13-05-2020,173,173.3,164.55,165.4,672513,8.75,7.6
12-05-2020,158.8,166,157.55,165,815398,8.45,-6.2
11-05-2020,160.3,163.5,158.1,158.45,600808,5.4,1.85
08-05-2020,163,164,157.1,158.3,770389,6.9,4.7
07-05-2020,165.8,165.85,160.6,161.05,753953,5.25,4.75
06-05-2020,171.7,171.7,160.6,163.8,2397288,11.1,7.9
05-05-2020,175.2,177.4,173.25,173.9,395357,4.15,1.3
04-05-2020,182.15,182.15,170.75,174.05,1934840,11.4,8.1
30-04-2020,185,185,180.5,182.15,623844,4.5,2.85
29-04-2020,181,183,179.75,182.1,356741,3.25,-1.1
28-04-2020,180,180.8,178.1,179.65,280678,2.7,0.35
27-04-2020,180,182.3,179.25,179.8,495128,3.05,0.2
24-04-2020,181.7,182.75,179.4,180,307133,3.35,1.7
23-04-2020,184.4,184.4,180,180.75,1732881,4.4,3.65
22-04-2020,179.45,183.5,176.2,182.35,917472,7.3,-2.9
21-04-2020,179,184.2,176.05,179.65,671347,8.15,-0.65
20-04-2020,190.9,190.9,179.6,180.75,1330184,11.3,10.15
17-04-2020,190.5,191.45,186.9,188.1,1344318,4.55,2.4
16-04-2020,189.75,191.2,185.5,186.5,1093031,5.7,3.25
15-04-2020,184.8,193.65,183.1,189.45,1539827,10.55,-4.65
13-04-2020,185.35,186.55,181,181.65,664395,5.55,3.7
09-04-2020,184.4,186.25,180.45,185.35,1245599,5.8,-0.95
08-04-2020,181.4,184,176.8,178.6,1445611,7.2,2.8
07-04-2020,184,185.65,173.6,181.5,2009993,12.05,2.5
03-04-2020,168.2,182.65,167.3,177.8,1952021,15.35,-9.6
01-04-2020,172.4,172.8,164.55,166.35,848837,8.25,6.05
31-03-2020,163.4,173.7,161.5,172,1455856,12.2,-8.6
30-03-2020,159,164.95,156.05,159.5,1007322,8.9,-0.5
27-03-2020,160.1,166,154.95,162.9,1619672,11.05,-2.8
26-03-2020,150,162.05,143.3,157.2,1871263,18.75,-7.2
25-03-2020,150,151.9,139,147.35,1686218,12.9,2.65
24-03-2020,160,163.15,147.5,149.45,2023455,15.65,10.55
23-03-2020,164.9,164.9,149.25,154.4,1932537,15.65,10.5
20-03-2020,164,176.55,164,175.55,2473883,12.55,-11.55
19-03-2020,151,163.5,144.8,161.95,2717547,18.7,-10.95
18-03-2020,153.6,154.6,147.5,150.65,884047,7.1,2.95
17-03-2020,147.35,155.8,140,149.2,2053604,15.8,-1.85
16-03-2020,159,159,145.25,147.2,1229008,13.75,11.8
13-03-2020,150,164,134.95,162.25,2308081,29.05,-12.25
12-03-2020,170,170,150.4,156.25,2497345,19.6,13.75
11-03-2020,174.3,176.7,172.35,175.7,1789199,4.35,-1.4
09-03-2020,179.3,179.3,174.55,177.2,791139,4.75,2.1
06-03-2020,185.65,185.65,179.75,181.8,1338833,5.9,3.85
05-03-2020,187.95,191.15,186.6,187.95,520777,4.55,0
04-03-2020,195.25,195.25,186.6,187.45,1066231,8.65,7.8
03-03-2020,196.3,197.45,192.7,193.85,772957,4.75,2.45
02-03-2020,199.05,203.35,193.8,195.55,656410,9.55,3.5
28-02-2020,195,199.75,190.6,197.6,1388715,9.15,-2.6
27-02-2020,199,199.3,195.95,197.5,537109,3.35,1.5
26-02-2020,200.9,201.85,196.35,198.55,537200,5.5,2.35
25-02-2020,203.1,205.4,201.45,201.75,851925,3.95,1.35
24-02-2020,207.5,207.85,201.75,203,608147,6.1,4.5
20-02-2020,207,208.6,205.5,207.4,266563,3.1,-0.4
19-02-2020,204.35,207.2,203.9,206.7,345066,3.3,-2.35
18-02-2020,204.95,204.95,200.3,203.9,423637,4.65,1.05
17-02-2020,208.8,208.8,204.2,204.75,485376,4.6,4.05
14-02-2020,212.8,212.9,206.85,207.75,572912,6.05,5.05
13-02-2020,213.8,213.8,211.35,211.95,246601,2.45,1.85
12-02-2020,213.65,214.8,211.85,213,359708,2.95,0.65
11-02-2020,217,217,211.85,212.7,833023,5.15,4.3
10-02-2020,213.55,214.2,210.2,210.7,510148,4,2.85
07-02-2020,214.7,215.55,212.8,213.5,368987,2.75,1.2
06-02-2020,217.05,219.8,211.85,213.5,975338,7.95,3.55
05-02-2020,216.5,217.5,211.5,216.55,781563,6,-0.05
04-02-2020,211.45,217.6,209.25,215.7,1314665,8.35,-4.25
03-02-2020,215.7,215.95,205,207.7,2806638,10.95,8
01-02-2020,238.15,239.25,215.7,218.85,1746151,23.55,19.3
31-01-2020,236.15,238.35,234.1,235.25,418235,4.25,0.9
30-01-2020,238.4,238.4,233,233.85,213699,5.4,4.55
29-01-2020,231.2,237.6,231.2,236.85,548653,6.4,-5.65
28-01-2020,234.65,235.85,230.5,230.75,490403,5.35,3.9
27-01-2020,237.65,237.65,234.2,234.65,318465,3.45,3
24-01-2020,237.9,239.1,237.05,238.1,271202,2.05,-0.2
23-01-2020,238,238.8,237,237.9,238087,1.8,0.1
22-01-2020,239.95,239.95,237.05,237.95,231739,2.9,2
21-01-2020,241.9,241.9,237.95,238.3,927237,3.95,3.6
20-01-2020,241,243.25,240.25,241.9,272753,3,-0.9
17-01-2020,241.5,242.1,239.4,239.85,244164,2.7,1.65
16-01-2020,243.3,243.8,240.4,240.75,190776,3.4,2.55
15-01-2020,243.5,243.5,241.1,242.4,175383,2.4,1.1
14-01-2020,240,243.7,238.35,243.3,870308,5.35,-3.3
13-01-2020,238.95,240.5,238.25,239.15,260804,2.25,-0.2
10-01-2020,237,238.8,236.9,238,259573,1.9,-1
09-01-2020,236,236.6,235.05,235.8,358421,1.55,0.2
08-01-2020,234.8,235.8,233.85,234.2,191885,1.95,0.6
07-01-2020,236.6,237.9,234.7,235.3,186355,3.2,1.3
06-01-2020,238.45,238.45,235,235.1,260845,3.45,3.35
03-01-2020,240.7,240.7,237.9,238.45,216996,2.8,2.25
02-01-2020,238.75,240.6,238.35,239.8,192171,2.25,-1.05
01-01-2020,238.9,238.9,237.2,238.15,125205,1.7,0.75
